id_bsran_Group	id_bsran	title_bsran	layer_bsran	objtype_bsran	objpixel_bsran	objgeo_bsran	pensymcolor_bsran	pensymsizepixel_bsran	pensymsizemeters_bsran	brushfill_bsran	brushcolor_bsran	alpha_bsran	uri_bsran	labelsize_bsran	labelcolor_bsran	objgeocenter_bsran
-1064471185_0	10644711850			POINT	-30792.3079568658 19197.9742361063	-46.697826999988 -23.6177969999958	-16777216	10	10	10	10					
-1064471185_1	10644711851			POINT	136.877683954511 233.600883805124	0.195979624986643 0.670593269381357	-16777216	10	10	10	10					
-1064471185_2	10644711852			POINT	143.853357983929 244.037147316	0.205849973628146 0.655649367123286	-16777216	10	10	10	10					
-1064471185_3	10644711853			POINT	150.829052956352 254.473409924773	0.21572032226965 0.640705464865212	-16777216	10	10	10	10					
-1064471185_4	10644711854			POINT	157.8047679332 264.909671960268	0.225590670911153 0.625761562607141	-16777216	10	10	10	10					
-1064471185_5	10644711855			POINT	164.780501975896 275.345933751316	0.235461019552658 0.610817660349068	-16777216	10	10	10	10					
-1064471185_6	10644711856			POINT	176.14037809886 278.749153451601	0.251581516116842 0.605913200583353	-16777216	10	10	10	10					
-1064471185_7	10644711857			POINT	194.209632271573 278.598063482601	0.277242276817539 0.606066882557305	-16777216	10	10	10	10					
-1064471185_8	10644711858			POINT	212.278885694402 278.446944823652	0.302903037518237 0.606220564531257	-16777216	10	10	10	10					
-1064471185_9	10644711859			POINT	230.348138366925 278.295797452957	0.328563798218934 0.606374246505208	-16777216	10	10	10	10					
-1064471185_10	106447118510			POINT	248.417390288721 278.14462134871	0.354224558919629 0.606527928479162	-16777216	10	10	10	10					
-1064471185_11	106447118511			POINT	262.982059604154 278.443836858605	0.374906882643656 0.606049806312372	-16777216	10	10	10	10					
-1064471185_12	106447118512			POINT	274.042149059223 279.193458231794	0.39061076939101 0.604939880004842	-16777216	10	10	10	10					
-1064471185_13	106447118513			POINT	285.102241417782 279.943069901054	0.406314656138365 0.603829953697312	-16777216	10	10	10	10					
-1064471185_14	106447118514			POINT	296.162336671709 280.692671925094	0.42201854288572 0.602720027389782	-16777216	10	10	10	10					
-1064471185_15	106447118515			POINT	307.222434812882 281.442264362625	0.437722429633076 0.601610101082252	-16777216	10	10	10	10					
-1064471185_16	106447118516			POINT	318.282535833178 282.191847272354	0.45342631638043 0.600500174774722	-16777216	10	10	10	10					
-1064471185_17	106447118517			POINT	329.342639724478 282.941420712991	0.469130203127784 0.59939024846719	-16777216	10	10	10	10					
-1064471185_18	106447118518			POINT	340.40274647866 283.69098474324	0.484834089875138 0.59828032215966	-16777216	10	10	10	10					
-1064471185_19	106447118519			POINT	351.462856087604 284.440539421808	0.500537976622492 0.597170395852131	-16777216	10	10	10	10					
-1064471185_20	106447118520			POINT	355.395187143338 297.604102799561	0.506076371031054 0.578338088002819	-16777216	10	10	10	10					
-1064471185_21	106447118521			POINT	353.797431352438 310.392888293459	0.503762822065938 0.560060743307272	-16777216	10	10	10	10					
-1064471185_22	106447118522			POINT	352.199644916937 323.181669800523	0.501449273100823 0.541783398611723	-16777216	10	10	10	10					
-1064471185_23	106447118523			POINT	350.601828166391 335.970447367019	0.499135724135706 0.523506053916178	-16777216	10	10	10	10					
-1064471185_24	106447118524			POINT	343.752665014547 344.045591123046	0.489381216466327 0.511985513650273	-16777216	10	10	10	10					
-1064471185_25	106447118525			POINT	332.184796677628 343.144173266413	0.472956933081057 0.513314226045863	-16777216	10	10	10	10					
-1064471185_26	106447118526			POINT	320.616931383945 342.242746973175	0.456532649695786 0.514642938441454	-16777216	10	10	10	10					
